symbol,asOfDate,TotalRevenue,StockholdersEquity,TotalAssets,capitalAdequacyRatio,ROE
1514.T,2023-03-31,39893000000.0,20361000000.0,26143000000.0,0.7788318096622423,0.18009920927262904
1515.T,2020-03-31,117502000000.0,100060000000.0,173954000000.0,0.5752095381537647,0.045152908255046975
1515.T,2021-03-31,119159000000.0,111074000000.0,188735000000.0,0.5885182928444644,0.03372526423825558
1515.T,2022-03-31,149082000000.0,120072000000.0,197732000000.0,0.6072461715857828,0.07727863282030782
1518.T,2020-03-31,66596000000.0,33000000000.0,63155000000.0,0.5225239490143299,0.06945454545454545
1518.T,2021-03-31,57378000000.0,30209000000.0,70618000000.0,0.4277804525758305,-0.10046674832003707
1518.T,2022-03-31,46592000000.0,35433000000.0,67837000000.0,0.5223255745389684,0.15228741568594248
1518.T,2023-03-31,80015000000.0,55777000000.0,95025000000.0,0.586971849513286,0.411943991250874
1605.T,2020-12-31,771046000000.0,2736540000000.0,4634518000000.0,0.5904691706883003,-0.04081760178912057
1605.T,2021-12-31,1244369000000.0,3124064000000.0,5158196000000.0,0.6056505026175818,0.07139674475298842
1605.T,2022-12-31,2324660000000.0,3776842000000.0,6262304000000.0,0.6031074186114248,0.11604297982282552
1662.T,2020-03-31,318822000000.0,402703000000.0,627132000000.0,0.6421343513008426,0.06658753473403475
1662.T,2021-03-31,240078000000.0,400172000000.0,624786000000.0,0.6404945053186211,-0.006809571884089842
1662.T,2022-03-31,249140000000.0,371638000000.0,471941000000.0,0.7874670774524781,-0.08338221602742453
1662.T,2023-03-31,336492000000.0,425631000000.0,568180000000.0,0.7491129571614629,0.15833903075668831
1663.T,2019-12-31,65133000000.0,75383000000.0,94386000000.0,0.7986671752166635,0.03630792088401894
1663.T,2020-12-31,58452000000.0,76303000000.0,94624000000.0,0.8063810449780182,0.03727245324561289
1663.T,2021-12-31,66070000000.0,78612000000.0,99096000000.0,0.7932913538387019,0.036203124204955986
1663.T,2022-12-31,106200000000.0,84275000000.0,109823000000.0,0.7673711335512597,0.056552951646395726
1711.T,2020-03-31,2273085000.0,19272000.0,731377000.0,0.026350295401687502,-18.660751349107514
1711.T,2021-03-31,844454000.0,39184000.0,277349000.0,0.14128048054977663,-8.890720702327481
1711.T,2022-03-31,1034970000.0,596608000.0,921661000.0,0.6473182656095896,-0.5594762390045055
1712.T,2020-02-29,14048977000.0,12403417000.0,21611990000.0,0.5739136932785921,0.054722017327966964
1712.T,2021-02-28,14906000000.0,13062000000.0,21275000000.0,0.6139600470035252,0.052748430561935386
1712.T,2022-02-28,17082000000.0,14347000000.0,21279000000.0,0.6742328116922788,0.08726563044538928
1712.T,2023-02-28,16411000000.0,14885000000.0,21954000000.0,0.6780085633597522,0.04863957003694995
1716.T,2020-06-30,17440075000.0,11979288000.0,15533540000.0,0.7711885378349044,0.12720430462979102
1716.T,2021-06-30,19337792000.0,13629368000.0,17991723000.0,0.7575354511627375,0.12792199902445953
1716.T,2022-06-30,20949144000.0,15022830000.0,19408371000.0,0.7740386867089464,0.10517465750461132
1717.T,2020-03-31,4353631000.0,4127040000.0,5519596000.0,0.7477068973888669,0.15497790183763666
1717.T,2021-03-31,4240560000.0,3966673000.0,5504690000.0,0.7205987984791151,0.1564235317607476
1717.T,2022-03-31,4260273000.0,4283726000.0,5718924000.0,0.7490440509438488,0.14152865986293242
1718.T,2019-12-31,29887483000.0,12723180000.0,27678836000.0,0.4596717867760046,0.08419986198418948
1718.T,2020-12-31,27260898000.0,13367495000.0,27282433000.0,0.4899671154695038,0.05951810716966791
1718.T,2021-12-31,26370060000.0,13978805000.0,30561859000.0,0.45739380578910466,0.052319565227499774
1718.T,2022-12-31,30758899000.0,14612087000.0,30998703000.0,0.471377366982096,0.050279607560507956
1719.T,2020-03-31,378134000000.0,136060000000.0,339772000000.0,0.40044500429699914,0.12349698662354844
1719.T,2021-03-31,352000000000.0,145917000000.0,339610000000.0,0.4296604929183475,0.11779984511742977
1719.T,2022-03-31,340292000000.0,140919000000.0,295332000000.0,0.47715452439965866,0.12539827844364493
1719.T,2023-03-31,372146000000.0,140484000000.0,318014000000.0,0.4417541366103379,0.10810483756157285
1720.T,2020-03-31,322169000000.0,101214000000.0,235897000000.0,0.42906014065460774,0.1472424763372656
1720.T,2021-03-31,231483000000.0,102963000000.0,226568000000.0,0.45444634723350164,0.025708264133717938
1720.T,2022-03-31,258083000000.0,92488000000.0,237811000000.0,0.3889138853963862,-0.08064830032004151
1720.T,2023-03-31,288867000000.0,95247000000.0,249164000000.0,0.38226629850219135,0.055067351202662554
1721.T,2020-03-31,560882000000.0,308206000000.0,450043000000.0,0.6848367822630282,0.08433969487939884
1721.T,2021-03-31,563252000000.0,328319000000.0,479419000000.0,0.684826842490598,0.08945263600339913
1721.T,2022-03-31,589028000000.0,338826000000.0,524062000000.0,0.6465380050452045,0.08620353809920137
1721.T,2023-03-31,563295000000.0,342033000000.0,502133000000.0,0.6811601707117437,0.056538404189069476
1723.T,2020-03-31,31298714000.0,23904955000.0,38543522000.0,0.6202068145199601,0.13319539819255047
1723.T,2021-03-31,34079000000.0,26656000000.0,37628000000.0,0.7084086318698841,0.12469987995198079
1723.T,2022-03-31,31669000000.0,28863000000.0,38571000000.0,0.7483083145368282,0.10494404601046323
1723.T,2023-03-31,34308000000.0,31076000000.0,43290000000.0,0.7178563178563179,0.10191144291414596
1724.T,2019-12-31,10294000000.0,2724000000.0,8624000000.0,0.31586270871985156,0.30616740088105726
1724.T,2020-12-31,10892000000.0,3310000000.0,9385000000.0,0.352690463505594,0.15981873111782477
1724.T,2021-12-31,13061000000.0,5039000000.0,10335000000.0,0.48756652152878566,0.17285175630085334
1724.T,2022-12-31,9965000000.0,5330000000.0,11333000000.0,0.47030795023383043,0.055159474671669796
1726.T,2020-03-31,34775000000.0,6870000000.0,26398000000.0,0.26024698840821275,0.19621542940320233
1726.T,2021-03-31,38797000000.0,12151000000.0,32649000000.0,0.372170663726301,0.16031602337256193
1726.T,2022-03-31,35899000000.0,13294000000.0,33961000000.0,0.3914490150466712,0.11486384835264028
1726.T,2023-03-31,36022000000.0,13842000000.0,40355000000.0,0.3430058233180523,0.07404999277561046
1730.T,2020-03-31,4030373000.0,1354542000.0,3413371000.0,0.39683409743622944,0.029392222611037532
1730.T,2021-03-31,4623870000.0,1496008000.0,3546922000.0,0.4217764021875869,0.10268527975786226
1730.T,2022-03-31,3594613000.0,1411448000.0,3300862000.0,0.42759982089526916,-0.036888358621784155
1730.T,2023-03-31,3572123000.0,1395360000.0,3102278000.0,0.4497856091555947,-0.012682031877078316
1736.T,2020-03-31,27225613000.0,15375381000.0,26013932000.0,0.591044098985113,0.10538119348066886
1736.T,2021-03-31,23458243000.0,16504534000.0,26566994000.0,0.6212420569673784,0.08036518934736359
1736.T,2022-03-31,25410370000.0,17470009000.0,26767607000.0,0.6526548675045925,0.07726475699010801
1736.T,2023-03-31,26138165000.0,18046471000.0,28339248000.0,0.6368013364363091,0.06905544025754398
1739.T,2020-06-30,24847555000.0,5129853000.0,24528180000.0,0.20914120004011713,0.17544537825937703
1739.T,2021-06-30,27541969000.0,6329151000.0,24580917000.0,0.25748229815836404,0.1971811069130757
1739.T,2022-06-30,31482010000.0,7521979000.0,26324242000.0,0.28574342235571304,0.16909765368927512
1743.T,2019-09-30,11736075000.0,6488558000.0,11446510000.0,0.5668590688340813,0.014545296505016986
1743.T,2020-09-30,11045314000.0,7059688000.0,12093021000.0,0.5837820012054887,0.08775047849140075
1743.T,2021-09-30,10547104000.0,7674855000.0,12266874000.0,0.6256569522112969,0.08381396130610937
1743.T,2022-09-30,10079792000.0,8109261000.0,12703288000.0,0.6383592184952431,0.06925427606781925
1757.T,2020-03-31,2270835000.0,906237000.0,2546191000.0,0.3559187036636293,-0.502535208780926
1757.T,2021-03-31,1329245000.0,1262032000.0,1476458000.0,0.8547699968437978,-1.0363413922943316
1757.T,2022-03-31,2848789000.0,792309000.0,1773795000.0,0.44667450297244043,-1.1548246959204047
1757.T,2023-03-31,4300103000.0,1075063000.0,1500718000.0,0.7163657662532201,0.2784562393087661
1758.T,2020-01-31,11853390000.0,7033058000.0,10251062000.0,0.6860809153237001,0.0682475531980541
