ticker,ticker_name,market_product_category,type_33,type_17,dividendRate,dividendYield,fiveYearAvgDividendYield,payoutRatio,MarketCap,totalRevenue,ROE
2990.T,アイダ設計,PRO Market,不動産業,不動産 ,0.5,0.0014,,0.17879999,12719790080.0,56468000768.0,-0.16439
2991.T,ランドネット,スタンダード（内国株式）,不動産業,不動産 ,37.0,0.0304,,0.0999,7231436800.0,60770000896.0,0.15197
2992.T,アーバンライク,PRO Market,不動産業,不動産 ,,,,0.0,2512399872.0,3723000064.0,0.34182
2993.T,長栄,スタンダード（内国株式）,不動産業,不動産 ,160.0,0.0785,,0.3173,8922231808.0,9162000384.0,0.15001
2994.T,アンサーホールディングス,PRO Market,不動産業,不動産 ,,,,0.0,721000000.0,1728999936.0,
2995.T,ジェイレックス・コーポレーション,PRO Market,不動産業,不動産 ,5400.0,3.6,,16.9637,5201576960.0,21873999872.0,
2997.T,ストレージ王,グロース（内国株式）,不動産業,不動産 ,,,,0.0,891376512.0,,
2998.T,クリアル,グロース（内国株式）,不動産業,不動産 ,,,,0.0,44457783296.0,16435999744.0,0.16181
2999.T,ホームポジション,スタンダード（内国株式）,不動産業,不動産 ,56.0,0.091800004,,1.1931,3599990016.0,16906999808.0,
3001.T,片倉工業,スタンダード（内国株式）,繊維製品,素材・化学 ,16.0,0.0099,0.91,0.1499,53214097408.0,36429000704.0,0.046630003
3002.T,グンゼ,プライム（内国株式）,繊維製品,素材・化学 ,150.0,0.0343,2.82,0.56380004,74247520256.0,136030003200.0,0.03896
3003.T,ヒューリック,プライム（内国株式）,不動産業,不動産 ,46.0,0.0376,3.1,0.38599998,924052357120.0,529056989184.0,0.12445
3004.T,神栄,スタンダード（内国株式）,卸売業,商社・卸売 ,40.0,0.0375,,0.1713,4318100992.0,39892000768.0,0.23483999
3010.T,ポラリス・ホールディングス,スタンダード（内国株式）,サービス業,情報通信・サービスその他 ,,,,0.0,12898514944.0,7016999936.0,0.34452
3011.T,バナーズ,スタンダード（内国株式）,小売業,小売 ,4.0,0.0292,1.92,0.2481,2213477632.0,4335000064.0,0.06608
3020.T,アプライド,スタンダード（内国株式）,小売業,小売 ,80.0,0.0348,2.29,0.11350001,6214381056.0,38606000128.0,0.12366
3021.T,パシフィックネット,スタンダード（内国株式）,サービス業,情報通信・サービスその他 ,73.0,0.0388,1.99,0.7404,9184358400.0,6249999872.0,0.09872
3023.T,ラサ商事,スタンダード（内国株式）,卸売業,商社・卸売 ,68.0,0.0465,4.36,0.3696,17000425472.0,29656000512.0,0.107700005
3024.T,クリエイト,スタンダード（内国株式）,卸売業,商社・卸売 ,26.0,0.0322,,0.20639999,3134743040.0,34880999424.0,0.091129996
3028.T,アルペン,プライム（内国株式）,小売業,小売 ,50.0,0.0254,2.21,0.39279997,76398682112.0,245228994560.0,0.04442
3030.T,ハブ,プライム（内国株式）,小売業,小売 ,,,,0.0,10389345280.0,7608000000.0,-0.11745
3031.T,ラクーンホールディングス,プライム（内国株式）,情報・通信業,情報通信・サービスその他 ,18.0,0.0256,1.09,0.67160004,15021092864.0,5320983040.0,0.12393
3034.T,クオールホールディングス,プライム（内国株式）,小売業,小売 ,30.0,0.0174,2.02,0.19610001,64931975168.0,170036002816.0,0.122
3035.T,ケイティケイ,スタンダード（内国株式）,卸売業,商社・卸売 ,15.0,0.024,3.71,0.3458,3593889280.0,17614999552.0,0.08575
3036.T,アルコニックス,プライム（内国株式）,卸売業,商社・卸売 ,54.0,0.039300002,3.26,0.29610002,41545588736.0,178333007872.0,0.09201
3038.T,神戸物産,プライム（内国株式）,卸売業,商社・卸売 ,43.0,0.012,0.77,0.2466,785286627328.0,430619983872.0,0.20174
3039.T,碧,PRO Market,小売業,小売 ,,,,,352230016.0,,
3040.T,ソリトンシステムズ,プライム（内国株式）,情報・通信業,情報通信・サービスその他 ,20.0,0.016,0.96,0.1866,22427719680.0,19590000640.0,0.17006001
3041.T,ビューティ花壇,スタンダード（内国株式）,卸売業,商社・卸売 ,22.22,0.0214,,0.3971,4235724800.0,6374000128.0,0.18274
3042.T,セキュアヴェイル,グロース（内国株式）,情報・通信業,情報通信・サービスその他 ,,,,0.0,2030041216.0,1029000000.0,-0.04061
3045.T,カワサキ,スタンダード（内国株式）,卸売業,商社・卸売 ,40.0,0.0278,2.73,0.12109999,3102780672.0,1550000000.0,0.0517
3046.T,ジンズホールディングス,プライム（内国株式）,小売業,小売 ,36.0,0.0111,0.76,1.1026,78072971264.0,68752998400.0,0.0168
3048.T,ビックカメラ,プライム（内国株式）,小売業,小売 ,20.0,0.0189,1.44,0.4907,185714016256.0,807661010944.0,0.045440003
3050.T,ＤＣＭホールディングス,プライム（内国株式）,小売業,小売 ,40.0,0.033800002,2.76,0.3199,167480410112.0,486676004864.0,0.07215
3053.T,ペッパーフードサービス,プライム（内国株式）,小売業,小売 ,,,,0.0,5600724992.0,50852999168.0,
3054.T,ハイパー,プライム（内国株式）,卸売業,商社・卸売 ,7.0,0.015700001,1.84,,4331235328.0,10844999680.0,-0.13134
3058.T,三洋堂ホールディングス,スタンダード（内国株式）,小売業,小売 ,,,,0.0,6307415552.0,17798000640.0,-0.17458999
3059.T,ヒラキ,スタンダード（内国株式）,小売業,小売 ,20.0,0.02,2.03,0.5316,4867409920.0,14288000000.0,0.0149300005
3063.T,ジェイグループホールディングス,グロース（内国株式）,小売業,小売 ,,,,0.0,6480969216.0,8933999616.0,-0.53345
3064.T,ＭｏｎｏｔａＲＯ,プライム（内国株式）,小売業,小売 ,16.0,0.009,0.48,0.3416,908097552384.0,233374007296.0,0.27951
3065.T,ライフフーズ,スタンダード（内国株式）,小売業,小売 ,,,,0.0,5264643584.0,9888000000.0,-0.20277001
3067.T,東京一番フーズ,プライム（内国株式）,小売業,小売 ,,,,0.0,4481159680.0,6745999872.0,0.04792
