ticker,ticker_name,market_product_category,type_33,type_17,dividendRate,dividendYield,fiveYearAvgDividendYield,payoutRatio,MarketCap,totalRevenue,ROE
3157.T,ジューテックホールディングス,スタンダード（内国株式）,卸売業,商社・卸売 ,38.0,3.19,2.4,19.6,15674586112.0,182767992832.0,0.15
3159.T,丸善ＣＨＩホールディングス,スタンダード（内国株式）,小売業,小売 ,4.0,1.12,0.51,10.34,32853901312.0,163398991872.0,0.04
3160.T,大光,スタンダード（内国株式）,卸売業,商社・卸売 ,9.0,1.52,1.29,26.26,7884226048.0,62611001344.0,0.11
3161.T,アゼアス,スタンダード（内国株式）,卸売業,商社・卸売 ,45.0,6.96,2.45,29.63,3672518912.0,9080999936.0,0.06
3166.T,ＯＣＨＩホールディングス,プライム（内国株式）,卸売業,商社・卸売 ,52.0,4.06,2.59,26.97,16897618944.0,115612999680.0,0.12
3167.T,ＴＯＫＡＩホールディングス,プライム（内国株式）,卸売業,商社・卸売 ,32.0,3.6,3.15,64.76,116734050304.0,230190006272.0,0.08
3168.T,黒谷,スタンダード（内国株式）,卸売業,商社・卸売 ,20.0,3.24,3.06,174.22,8656786432.0,90311000064.0,0.02
3169.T,ミサワ,スタンダード（内国株式）,小売業,小売 ,20.0,3.25,0.0,27.7,4352453632.0,10924000256.0,0.31
3172.T,ティーライフ,スタンダード（内国株式）,小売業,小売 ,52.0,3.23,3.08,45.21,6704838144.0,13358999552.0,0.08
3173.T,Ｃｏｍｉｎｉｘ,プライム（内国株式）,卸売業,商社・卸売 ,40.0,4.7,2.79,30.51,5831356416.0,28853000192.0,0.11
3174.T,ハピネス・アンド・ディ,スタンダード（内国株式）,小売業,小売 ,15.0,1.63,2.39,0.0,2354327040.0,0.0,0.0
3175.T,エー・ピーホールディングス,スタンダード（内国株式）,小売業,小売 ,0.0,0.0,0.0,0.0,10117145600.0,17175000064.0,-3.98
3176.T,三洋貿易,プライム（内国株式）,卸売業,商社・卸売 ,42.0,3.13,3.49,29.57,38863032320.0,122628997120.0,0.1
3177.T,ありがとうサービス,スタンダード（内国株式）,小売業,小売 ,222.0,8.54,4.72,34.36,2398665728.0,9185000448.0,0.15
